timestamp	event	cpu_%	ram_%	gpu_%	time_taken_sec	latency_sec	oneway_latency_sec	total_latency_sec
23:27:41	DETECTED_LIVING ROOM	9.5	33.7	42	0.0	1.09	0.0	0.0
23:27:50	REACHED_LIVING ROOM	8.9	33.6	38	6.613	1.09	1.19	7.702
23:28:03	DETECTED_HOME	8.6	33.6	37	0.0	0.457	0.0	0.0
23:28:14	REACHED_HOME	9.8	33.7	39	8.112	0.457	0.557	8.569
23:28:20	DETECTED_PREVIOUS	8.9	33.7	38	0.0	0.765	0.0	0.0
23:28:30	REACHED_LIVING ROOM	10.1	33.7	39	6.662	0.765	0.865	7.427
23:28:49	SHUTDOWN_TRIGGERED	9.0	33.6	37	0.0	0.587	0.0	0.0
