no	timestamp	recognized_text	stt_latency_sec	tts_latency_sec	total_latency_sec	cpu_usage_percent	success_flag
1	2026-01-13 00:58:22		4.562	4.395	8.958	1.0	0
2	2026-01-13 00:58:29	try again	4.216	2.995	7.211	1.3	1
