timestamp	trial_no	location	cpu_%	ram_%	time_taken_sec	stt_latency_sec	object_recognition_%
2026-06-17 13:00:58	1	Lab_A	24.2	37.2	0.1566	0.1566	68.50
2026-06-17 13:00:58	2	Lab_A	67.6	37.3	0.0372	0.0372	67.40
2026-06-17 13:00:58	3	Lab_A	71.7	37.4	0.0357	0.0357	57.92
2026-06-17 13:00:58	4	Lab_A	72.1	37.4	0.0381	0.0381	65.28
2026-06-17 13:00:58	5	Lab_A	70.7	37.4	0.0356	0.0356	68.12
2026-06-17 13:00:58	6	Lab_A	77.6	37.4	0.0358	0.0358	67.71
2026-06-17 13:00:58	7	Lab_A	71.2	37.4	0.0340	0.0340	63.73
2026-06-17 13:00:58	8	Lab_A	70.9	37.4	0.0339	0.0339	64.83
2026-06-17 13:00:58	9	Lab_A	67.7	37.4	0.0354	0.0354	73.44
2026-06-17 13:00:58	10	Lab_A	70.9	37.3	0.0357	0.0357	64.49
2026-06-17 13:00:58	11	Lab_A	72.9	37.4	0.0367	0.0367	64.73
2026-06-17 13:00:58	12	Lab_A	70.4	37.2	0.0358	0.0358	67.49
2026-06-17 13:00:58	13	Lab_A	66.7	37.4	0.0319	0.0319	64.60
2026-06-17 13:00:58	14	Lab_A	71.9	37.4	0.0372	0.0372	64.62
2026-06-17 13:00:59	15	Lab_A	74.2	37.5	0.0374	0.0374	61.92
2026-06-17 13:00:59	16	Lab_A	70.7	37.4	0.0345	0.0345	70.29
2026-06-17 13:00:59	17	Lab_A	67.7	37.4	0.0366	0.0366	66.09
2026-06-17 13:00:59	18	Lab_A	70.7	37.5	0.0342	0.0342	63.43
2026-06-17 13:00:59	19	Lab_A	74.5	37.5	0.0369	0.0369	70.48
2026-06-17 13:00:59	20	Lab_A	69.0	37.5	0.0349	0.0349	59.84
2026-06-17 13:00:59	21	Lab_A	72.4	37.4	0.0380	0.0380	63.84
2026-06-17 13:00:59	22	Lab_A	67.2	37.4	0.0358	0.0358	71.39
2026-06-17 13:00:59	23	Lab_A	75.5	37.3	0.0358	0.0358	67.41
2026-06-17 13:00:59	24	Lab_A	71.7	37.3	0.0351	0.0351	66.74
2026-06-17 13:00:59	25	Lab_A	67.2	37.4	0.0355	0.0355	63.63
2026-06-17 13:00:59	26	Lab_A	70.2	37.3	0.0368	0.0368	67.49
2026-06-17 13:00:59	27	Lab_A	68.3	37.4	0.0354	0.0354	64.83
2026-06-17 13:00:59	28	Lab_A	71.4	37.4	0.0358	0.0358	69.18
2026-06-17 13:00:59	29	Lab_A	77.2	37.5	0.0378	0.0378	66.72
2026-06-17 13:00:59	30	Lab_A	73.2	37.4	0.0368	0.0368	66.80
2026-06-17 13:00:59	31	Lab_A	70.0	37.5	0.0356	0.0356	66.74
2026-06-17 13:00:59	32	Lab_A	71.9	37.5	0.0348	0.0348	59.38
2026-06-17 13:00:59	33	Lab_A	71.2	37.4	0.0357	0.0357	68.95
2026-06-17 13:00:59	34	Lab_A	73.8	37.4	0.0356	0.0356	68.65
2026-06-17 13:01:00	35	Lab_A	66.7	37.5	0.0349	0.0349	66.49
2026-06-17 13:01:00	36	Lab_A	69.4	37.5	0.0366	0.0366	65.32
2026-06-17 13:01:00	37	Lab_A	65.0	37.6	0.0354	0.0354	67.88
2026-06-17 13:01:00	38	Lab_A	71.9	37.5	0.0334	0.0334	64.77
2026-06-17 13:01:00	39	Lab_A	71.4	37.5	0.0375	0.0375	68.27
2026-06-17 13:01:00	40	Lab_A	67.2	37.4	0.0358	0.0358	62.52
2026-06-17 13:01:00	41	Lab_A	71.4	37.5	0.0334	0.0334	71.48
2026-06-17 13:01:00	42	Lab_A	69.8	37.5	0.0347	0.0347	68.02
2026-06-17 13:01:00	43	Lab_A	68.4	37.5	0.0337	0.0337	69.18
2026-06-17 13:01:00	44	Lab_A	68.4	37.5	0.0328	0.0328	61.38
2026-06-17 13:01:00	45	Lab_A	69.4	37.5	0.0353	0.0353	57.45
2026-06-17 13:01:00	46	Lab_A	69.1	37.5	0.0327	0.0327	66.56
2026-06-17 13:01:00	47	Lab_A	67.2	37.5	0.0346	0.0346	63.09
2026-06-17 13:01:00	48	Lab_A	70.6	37.5	0.0346	0.0346	67.56
2026-06-17 13:01:00	49	Lab_A	68.9	37.4	0.0347	0.0347	67.70
2026-06-17 13:01:00	50	Lab_A	72.1	37.4	0.0354	0.0354	62.24
