timestamp	event	cpu_%	ram_%	gpu_%	time_taken_sec	latency_sec	oneway_latency_sec	total_latency_sec
17:29:23	START_TURN_RIGHT_1.0S	9.3	24.7	0.0	0.0	1.003	0.083	1.086
17:29:24	SUCCESS_TURN_RIGHT_1.0S	9.2	24.7	0.0	1.003	1.003	0.083	2.089
17:30:10	START_TURN_RIGHT_1.0S	9.0	24.7	0.0	0.0	0.699	0.083	0.782
17:30:11	SUCCESS_TURN_RIGHT_1.0S	9.5	24.8	0.0	1.003	0.699	0.083	1.785
17:30:31	START_FORWARD_1.0S	8.4	24.7	0.0	0.0	0.825	0.083	0.908
17:30:32	SUCCESS_FORWARD_1.0S	8.4	24.8	0.0	1.003	0.825	0.083	1.911
17:31:16	START_TURN_LEFT_2.0S	10.6	24.8	0.0	0.0	5.126	0.083	5.209
17:31:19	SUCCESS_TURN_LEFT_2.0S	13.7	24.9	0.0	2.006	5.126	0.083	7.215
